Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Luguentz Dort,OKC,DEN,L,25.65,3,6,0.5,3,5,0.6,2,2,1.0,0,6,6,3.0,3,2,1,4,11,13.7,2024-11-06
Kentavious Caldwell-Pope,ORL,IND,L,37.38,5,10,0.5,2,5,0.4,1,1,1.0,2,3,5,2.0,1,0,0,1,13,12.3,2024-11-06
Jalen Suggs,ORL,IND,L,35.67,6,10,0.6,1,3,0.333,2,2,1.0,1,4,5,6.0,1,1,5,3,15,12.0,2024-11-06
Anthony Black,ORL,IND,L,26.98,4,7,0.571,0,1,0.0,4,6,0.667,0,0,0,6.0,2,0,1,4,12,11.5,2024-11-06
Goga Bitadze,ORL,IND,L,29.82,5,10,0.5,0,2,0.0,0,0,0.0,4,8,12,2.0,1,3,2,5,10,10.7,2024-11-06
Aaron Wiggins,OKC,DEN,L,17.35,5,9,0.556,2,4,0.5,1,1,1.0,1,1,2,1.0,0,0,0,0,13,10.4,2024-11-06
Moritz Wagner,ORL,IND,L,14.6,4,8,0.5,0,1,0.0,6,7,0.857,0,1,1,1.0,1,0,1,1,14,10.2,2024-11-06
Isaiah Joe,OKC,DEN,L,25.07,4,11,0.364,3,9,0.333,0,0,0.0,4,1,5,3.0,1,0,0,3,11,9.9,2024-11-06
Jonathan Isaac,ORL,IND,L,15.5,4,4,1.0,0,0,0.0,1,2,0.5,2,4,6,0.0,0,1,1,0,9,9.7,2024-11-06
Chet Holmgren,OKC,DEN,L,35.53,5,14,0.357,2,3,0.667,3,3,1.0,3,7,10,0.0,0,1,3,3,15,7.9,2024-11-06
Ousmane Dieng,OKC,DEN,L,10.45,2,2,1.0,1,1,1.0,1,2,0.5,2,2,4,0.0,0,0,0,2,6,6.2,2024-11-06
Alex Caruso,OKC,DEN,L,21.58,1,9,0.111,0,3,0.0,0,0,0.0,1,5,6,4.0,4,2,0,5,2,4.5,2024-11-06
Gary Harris,ORL,IND,L,14.3,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0.0,0,0,1,0,5,3.0,2024-11-06
Tristan Da Silva,ORL,IND,L,23.27,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,3.0,0,0,1,3,5,2.9,2024-11-06
Ajay Mitchell,OKC,DEN,L,9.18,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,1.0,1,0,0,2,3,2.9,2024-11-06
Cason Wallace,OKC,DEN,L,20.27,2,8,0.25,0,3,0.0,0,0,0.0,0,2,2,2.0,2,0,1,4,4,0.6,2024-11-06
Jett Howard,ORL,IND,L,3.08,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0.0,0,0,1,1,0,-3.5,2024-11-06
Chet Holmgren,OKC,HOU,W,29.15,8,14,0.571,4,6,0.667,9,10,0.9,1,4,5,1.0,0,3,1,1,29,25.3,2024-11-08
Shai Gilgeous-Alexander,OKC,HOU,W,29.03,11,16,0.688,1,2,0.5,6,7,0.857,1,4,5,4.0,1,1,3,2,29,24.4,2024-11-08
Franz Wagner,ORL,NOP,W,32.43,9,18,0.5,2,5,0.4,7,8,0.875,2,3,5,6.0,2,0,2,2,27,23.3,2024-11-08
Ajay Mitchell,OKC,HOU,W,19.72,5,6,0.833,1,2,0.5,1,1,1.0,0,2,2,7.0,3,0,0,2,12,17.5,2024-11-08
Goga Bitadze,ORL,NOP,W,26.72,5,6,0.833,0,0,0.0,1,1,1.0,5,4,9,3.0,1,2,0,3,11,16.8,2024-11-08
Moritz Wagner,ORL,NOP,W,18.25,8,11,0.727,1,1,1.0,0,0,0.0,0,4,4,2.0,0,0,3,0,17,12.1,2024-11-08
Kentavious Caldwell-Pope,ORL,NOP,W,29.05,3,9,0.333,0,4,0.0,1,1,1.0,0,3,3,5.0,4,1,0,1,7,10.6,2024-11-08
Alex Caruso,OKC,HOU,W,13.77,3,5,0.6,2,3,0.667,2,2,1.0,1,3,4,1.0,1,0,0,2,10,10.2,2024-11-08
Jonathan Isaac,ORL,NOP,W,8.88,4,4,1.0,0,0,0.0,2,2,1.0,2,0,2,0.0,0,0,0,0,10,10.2,2024-11-08
Aaron Wiggins,OKC,HOU,W,29.72,3,9,0.333,2,3,0.667,0,0,0.0,1,4,5,5.0,1,1,0,1,8,9.6,2024-11-08
Isaiah Joe,OKC,HOU,W,23.77,5,10,0.5,3,8,0.375,1,1,1.0,0,6,6,1.0,0,0,0,5,14,9.5,2024-11-08
Anthony Black,ORL,NOP,W,24.27,4,6,0.667,0,0,0.0,3,4,0.75,1,2,3,4.0,0,1,2,4,11,9.2,2024-11-08
Jalen Williams,OKC,HOU,W,31.65,7,11,0.636,0,1,0.0,0,0,0.0,0,5,5,3.0,0,1,3,3,14,9.2,2024-11-08
Cole Anthony,ORL,NOP,W,12.0,3,5,0.6,1,3,0.333,1,2,0.5,0,6,6,2.0,1,0,1,0,8,8.5,2024-11-08
Gary Harris,ORL,NOP,W,19.48,2,3,0.667,1,2,0.5,2,3,0.667,1,0,1,2.0,0,1,0,1,7,7.7,2024-11-08
Cason Wallace,OKC,HOU,W,22.87,2,4,0.5,0,1,0.0,0,0,0.0,3,2,5,1.0,1,1,0,2,4,6.3,2024-11-08
Jalen Suggs,ORL,NOP,W,32.72,3,9,0.333,1,6,0.167,0,0,0.0,0,6,6,3.0,1,2,5,1,7,2.8,2024-11-08
Cory Joseph,ORL,NOP,W,2.22,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,3,2.0,2024-11-08
Tristan Da Silva,ORL,NOP,W,26.67,3,11,0.273,1,7,0.143,0,0,0.0,0,3,3,1.0,0,0,0,1,7,1.7,2024-11-08
Caleb Houstan,ORL,NOP,W,3.03,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0.0,0,1,0,0,0,0.3,2024-11-08
Malevy Leons,OKC,HOU,W,3.88,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0.0,0,0,0,1,1,0.2,2024-11-08
Ousmane Dieng,OKC,HOU,W,5.6,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0.0,1,0,1,0,0,-0.8,2024-11-08
Dillon Jones,OKC,HOU,W,11.87,1,6,0.167,0,5,0.0,0,0,0.0,0,2,2,0.0,1,1,1,1,2,-0.9,2024-11-08
Jett Howard,ORL,NOP,W,4.28,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-1.1,2024-11-08
Luguentz Dort,OKC,HOU,W,18.98,1,7,0.143,1,5,0.2,0,0,0.0,0,0,0,1.0,0,0,1,3,3,-3.0,2024-11-08
Franz Wagner,ORL,WAS,W,28.65,9,20,0.45,1,5,0.2,4,4,1.0,0,4,4,7.0,1,0,0,0,23,19.7,2024-11-10
Goga Bitadze,ORL,WAS,W,21.65,5,6,0.833,0,0,0.0,0,0,0.0,6,6,12,3.0,0,1,0,1,10,16.2,2024-11-10
Jalen Williams,OKC,GSW,L,31.3,9,15,0.6,0,2,0.0,2,2,1.0,1,2,3,4.0,1,4,4,2,20,16.2,2024-11-10
Luguentz Dort,OKC,GSW,L,29.63,6,11,0.545,3,8,0.375,1,1,1.0,1,5,6,3.0,1,1,0,4,16,15.1,2024-11-10
Shai Gilgeous-Alexander,OKC,GSW,L,33.73,6,17,0.353,0,2,0.0,12,14,0.857,1,4,5,4.0,0,1,4,0,24,15.1,2024-11-10
Anthony Black,ORL,WAS,W,22.28,4,6,0.667,2,3,0.667,2,2,1.0,1,1,2,4.0,0,2,1,1,12,13.2,2024-11-10
Cole Anthony,ORL,WAS,W,15.32,3,4,0.75,2,3,0.667,8,8,1.0,1,1,2,0.0,0,0,2,2,16,12.6,2024-11-10
Moritz Wagner,ORL,WAS,W,22.58,5,12,0.417,2,6,0.333,4,7,0.571,2,4,6,2.0,1,0,0,2,16,12.6,2024-11-10
Cason Wallace,OKC,GSW,L,30.3,6,10,0.6,2,2,1.0,2,2,1.0,1,1,2,0.0,0,0,0,2,16,11.6,2024-11-10
Ajay Mitchell,OKC,GSW,L,20.6,5,9,0.556,0,1,0.0,2,2,1.0,0,2,2,1.0,1,0,1,1,12,8.6,2024-11-10
Isaiah Joe,OKC,GSW,L,22.58,3,7,0.429,3,6,0.5,1,1,1.0,1,3,4,2.0,0,0,0,2,10,8.5,2024-11-10
Jett Howard,ORL,WAS,W,5.48,3,3,1.0,3,3,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,9,8.1,2024-11-10
Tristan Da Silva,ORL,WAS,W,31.62,4,9,0.444,2,5,0.4,1,1,1.0,1,3,4,2.0,2,0,2,5,11,7.3,2024-11-10
Aaron Wiggins,OKC,GSW,L,18.38,3,8,0.375,3,4,0.75,0,0,0.0,1,1,2,3.0,0,0,1,2,9,5.9,2024-11-10
Kentavious Caldwell-Pope,ORL,WAS,W,28.0,2,8,0.25,1,6,0.167,3,3,1.0,1,4,5,3.0,0,1,1,3,8,5.7,2024-11-10
Dillon Jones,OKC,GSW,L,14.97,2,4,0.5,0,1,0.0,0,2,0.0,4,2,6,2.0,0,0,1,1,4,4.6,2024-11-10
Alex Caruso,OKC,GSW,L,22.25,1,5,0.2,0,3,0.0,1,2,0.5,2,1,3,4.0,1,0,0,2,3,4.2,2024-11-10
Gary Harris,ORL,WAS,W,18.72,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0.0,0,0,1,0,6,3.3,2024-11-10
Jonathan Isaac,ORL,WAS,W,18.92,2,7,0.286,1,4,0.25,0,0,0.0,2,1,3,0.0,1,0,0,1,5,3.2,2024-11-10
Ousmane Dieng,OKC,GSW,L,11.08,1,5,0.2,0,2,0.0,0,0,0.0,2,2,4,2.0,0,0,0,2,2,1.5,2024-11-10
Cory Joseph,ORL,WAS,W,4.82,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,2.0,1,1,0,1,0,1.2,2024-11-10
Chet Holmgren,OKC,GSW,L,5.17,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0.0,0,0,0,0,0,-0.9,2024-11-10
Caleb Houstan,ORL,WAS,W,3.77,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-1.1,2024-11-10
Jalen Suggs,ORL,WAS,W,18.2,2,8,0.25,1,6,0.167,0,0,0.0,1,2,3,2.0,0,0,4,4,5,-2.7,2024-11-10
Shai Gilgeous-Alexander,OKC,LAC,W,39.35,13,21,0.619,4,8,0.5,15,16,0.938,0,3,3,9.0,5,2,1,3,45,46.5,2024-11-11
Jalen Williams,OKC,LAC,W,35.42,11,16,0.688,2,3,0.667,4,4,1.0,2,6,8,6.0,2,0,2,4,28,27.0,2024-11-11
Isaiah Joe,OKC,LAC,W,31.25,5,12,0.417,2,8,0.25,0,0,0.0,2,1,3,3.0,3,1,0,1,12,12.7,2024-11-11
Aaron Wiggins,OKC,LAC,W,29.18,4,6,0.667,2,4,0.5,0,0,0.0,2,2,4,4.0,0,1,1,1,10,11.5,2024-11-11
Luguentz Dort,OKC,LAC,W,35.17,7,14,0.5,4,8,0.5,1,1,1.0,0,2,2,1.0,2,0,3,5,19,10.3,2024-11-11
Alex Caruso,OKC,LAC,W,19.57,4,7,0.571,2,5,0.4,2,2,1.0,1,1,2,0.0,1,0,1,5,12,7.7,2024-11-11
Ousmane Dieng,OKC,LAC,W,8.65,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1.0,1,0,0,0,3,4.0,2024-11-11
Kenrich Williams,OKC,LAC,W,5.65,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1.0,0,0,0,1,3,2.3,2024-11-11
Dillon Jones,OKC,LAC,W,5.68,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,1.0,0,0,0,1,0,0.2,2024-11-11
Cason Wallace,OKC,LAC,W,19.57,0,6,0.0,0,4,0.0,0,0,0.0,1,1,2,4.0,2,0,1,1,0,0.2,2024-11-11
Ajay Mitchell,OKC,LAC,W,10.52,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1.0,0,0,2,1,2,-1.1,2024-11-11
Franz Wagner,ORL,CHO,W,31.97,14,25,0.56,2,9,0.222,2,3,0.667,1,7,8,5.0,3,0,2,2,32,26.2,2024-11-12
Moritz Wagner,ORL,CHO,W,23.53,5,7,0.714,2,4,0.5,6,6,1.0,2,3,5,1.0,2,0,2,1,18,17.7,2024-11-12
Jalen Suggs,ORL,CHO,W,28.0,7,14,0.5,3,5,0.6,0,0,0.0,0,4,4,4.0,2,1,2,3,17,13.5,2024-11-12
Jonathan Isaac,ORL,CHO,W,14.0,3,4,0.75,1,2,0.5,0,0,0.0,1,3,4,1.0,2,1,0,1,7,10.0,2024-11-12
Goga Bitadze,ORL,CHO,W,20.15,3,5,0.6,0,1,0.0,3,4,0.75,1,1,2,2.0,0,1,1,2,9,7.6,2024-11-12
Tristan Da Silva,ORL,CHO,W,32.03,2,6,0.333,1,4,0.25,0,0,0.0,1,5,6,2.0,0,2,0,1,5,6.2,2024-11-12
Cole Anthony,ORL,CHO,W,9.65,2,5,0.4,1,2,0.5,1,2,0.5,1,2,3,2.0,1,0,1,2,6,4.8,2024-11-12
Kentavious Caldwell-Pope,ORL,CHO,W,24.8,2,6,0.333,0,2,0.0,2,2,1.0,0,1,1,3.0,0,0,1,2,6,3.2,2024-11-12
Anthony Black,ORL,CHO,W,24.58,3,12,0.25,1,8,0.125,1,2,0.5,0,5,5,3.0,0,2,1,4,8,2.8,2024-11-12
Gary Harris,ORL,CHO,W,16.8,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,1.0,2,0,0,0,0,2.6,2024-11-12
Trevelin Queen,ORL,CHO,W,1.97,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0,1,3,0.9,2024-11-12
Caleb Houstan,ORL,CHO,W,4.32,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,0.3,2024-11-12
Cory Joseph,ORL,CHO,W,1.97,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1.0,0,0,0,0,0,0.3,2024-11-12
Jett Howard,ORL,CHO,W,6.23,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0.0,0,0,1,2,3,-0.5,2024-11-12
Jalen Williams,OKC,NOP,W,31.25,10,18,0.556,4,7,0.571,7,7,1.0,1,5,6,7.0,4,2,2,1,31,32.5,2024-11-13
Shai Gilgeous-Alexander,OKC,NOP,W,32.62,12,25,0.48,3,7,0.429,2,3,0.667,0,5,5,5.0,2,2,2,0,29,22.3,2024-11-13
Franz Wagner,ORL,IND,W,36.77,9,24,0.375,3,8,0.375,8,9,0.889,0,3,3,6.0,1,1,1,0,29,21.2,2024-11-13
Goga Bitadze,ORL,IND,W,27.82,6,7,0.857,0,0,0.0,0,0,0.0,6,6,12,1.0,1,2,3,4,12,14.0,2024-11-13
Anthony Black,ORL,IND,W,24.75,2,6,0.333,0,1,0.0,2,2,1.0,1,4,5,6.0,4,1,2,0,6,11.4,2024-11-13
Jonathan Isaac,ORL,IND,W,22.33,3,5,0.6,2,3,0.667,0,0,0.0,1,10,11,1.0,0,3,0,3,8,11.0,2024-11-13
Luguentz Dort,OKC,NOP,W,32.15,3,6,0.5,3,5,0.6,2,4,0.5,0,3,3,1.0,2,1,0,3,11,10.3,2024-11-13
Ajay Mitchell,OKC,NOP,W,25.85,2,4,0.5,0,0,0.0,2,2,1.0,0,2,2,3.0,2,0,0,2,6,7.9,2024-11-13
Kentavious Caldwell-Pope,ORL,IND,W,34.25,4,8,0.5,2,5,0.4,0,0,0.0,0,5,5,3.0,0,0,1,3,10,7.4,2024-11-13
Cason Wallace,OKC,NOP,W,27.88,2,7,0.286,1,4,0.25,0,0,0.0,0,4,4,1.0,5,0,0,2,5,7.0,2024-11-13
Aaron Wiggins,OKC,NOP,W,24.33,4,11,0.364,2,6,0.333,0,0,0.0,3,2,5,3.0,0,0,1,2,10,6.9,2024-11-13
Kenrich Williams,OKC,NOP,W,14.02,3,3,1.0,1,1,1.0,0,0,0.0,0,1,1,0.0,0,1,0,1,7,6.7,2024-11-13
Jett Howard,ORL,IND,W,13.75,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,2.0,0,1,1,2,6,5.0,2024-11-13
Tristan Da Silva,ORL,IND,W,20.63,1,6,0.167,0,2,0.0,1,2,0.5,4,5,9,3.0,0,0,0,1,3,4.8,2024-11-13
Adam Flagler,OKC,NOP,W,3.28,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,3,2.7,2024-11-13
Moritz Wagner,ORL,IND,W,17.5,4,7,0.571,2,4,0.5,0,0,0.0,1,1,2,0.0,0,0,5,3,10,1.5,2024-11-13
Cole Anthony,ORL,IND,W,4.58,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,1.0,0,0,0,0,2,0.9,2024-11-13
Malevy Leons,OKC,NOP,W,3.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-11-13
Jalen Suggs,ORL,IND,W,37.62,2,15,0.133,2,11,0.182,2,2,1.0,1,1,2,3.0,2,2,4,3,8,-0.4,2024-11-13
Dillon Jones,OKC,NOP,W,8.05,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,0.0,0,0,0,1,2,-0.5,2024-11-13
Ousmane Dieng,OKC,NOP,W,15.55,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,0.0,0,1,0,4,2,-0.6,2024-11-13
Isaiah Joe,OKC,NOP,W,21.73,0,5,0.0,0,5,0.0,0,0,0.0,0,3,3,0.0,1,0,0,1,0,-2.0,2024-11-13
Franz Wagner,ORL,PHI,W,40.72,10,23,0.435,5,11,0.455,6,6,1.0,1,10,11,6.0,2,1,0,4,31,27.9,2024-11-15
Shai Gilgeous-Alexander,OKC,PHO,W,32.93,11,25,0.44,2,7,0.286,4,4,1.0,3,3,6,4.0,0,1,2,2,28,18.6,2024-11-15
Luguentz Dort,OKC,PHO,W,31.6,5,11,0.455,2,7,0.286,3,3,1.0,3,6,9,2.0,0,1,1,1,15,13.9,2024-11-15
Moritz Wagner,ORL,PHI,W,19.88,5,7,0.714,1,2,0.5,3,4,0.75,1,3,4,2.0,1,0,1,0,14,13.7,2024-11-15
Jonathan Isaac,ORL,PHI,W,24.88,4,6,0.667,1,3,0.333,2,4,0.5,4,5,9,0.0,1,1,1,3,11,11.4,2024-11-15
Jalen Williams,OKC,PHO,W,30.32,6,16,0.375,0,4,0.0,2,2,1.0,0,8,8,3.0,2,2,1,3,14,10.9,2024-11-15
Jalen Suggs,ORL,PHI,W,34.47,6,16,0.375,1,8,0.125,6,6,1.0,3,4,7,3.0,1,1,5,4,19,10.7,2024-11-15
Isaiah Joe,OKC,PHO,W,21.97,4,8,0.5,2,6,0.333,1,1,1.0,0,5,5,2.0,0,2,0,2,11,10.5,2024-11-15
Cason Wallace,OKC,PHO,W,26.95,2,3,0.667,1,1,1.0,0,0,0.0,0,4,4,3.0,1,2,0,3,5,8.2,2024-11-15
Aaron Wiggins,OKC,PHO,W,19.9,2,5,0.4,1,1,1.0,3,4,0.75,1,0,1,2.0,0,0,0,3,8,5.8,2024-11-15
Ajay Mitchell,OKC,PHO,W,22.63,3,7,0.429,1,2,0.5,0,0,0.0,2,2,4,3.0,0,0,1,2,7,5.6,2024-11-15
Tristan Da Silva,ORL,PHI,W,18.4,2,5,0.4,0,3,0.0,2,2,1.0,0,3,3,0.0,1,0,0,1,6,4.8,2024-11-15
Kenrich Williams,OKC,PHO,W,15.15,1,4,0.25,0,3,0.0,0,0,0.0,1,5,6,1.0,1,3,1,3,2,3.4,2024-11-15
Jett Howard,ORL,PHI,W,1.22,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0.0,0,1,0,1,3,3.3,2024-11-15
Kentavious Caldwell-Pope,ORL,PHI,W,33.42,3,9,0.333,2,6,0.333,0,0,0.0,0,1,1,1.0,2,0,2,2,8,3.1,2024-11-15
Ousmane Dieng,OKC,PHO,W,21.72,2,8,0.25,1,6,0.167,2,2,1.0,1,4,5,1.0,1,0,2,4,7,2.2,2024-11-15
Goga Bitadze,ORL,PHI,W,26.9,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4,1.0,1,2,5,2,2,0.6,2024-11-15
Gary Harris,ORL,PHI,W,13.67,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0.0,1,0,0,1,0,0.6,2024-11-15
Dillon Jones,OKC,PHO,W,8.28,0,2,0.0,0,1,0.0,2,2,1.0,2,1,3,0.0,1,0,2,2,2,0.5,2024-11-15
Cory Joseph,ORL,PHI,W,1.22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,1,0,0.3,2024-11-15
Malevy Leons,OKC,PHO,W,4.22,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,0.3,2024-11-15
Anthony Black,ORL,PHI,W,19.67,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,1.0,1,0,2,1,4,0.2,2024-11-15
Caleb Houstan,ORL,PHI,W,1.22,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,-0.4,2024-11-15
Adam Flagler,OKC,PHO,W,4.33,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0.0,0,0,0,1,0,-1.5,2024-11-15
Cole Anthony,ORL,PHI,W,4.32,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,1,1,0,-2.8,2024-11-15
Shai Gilgeous-Alexander,OKC,DAL,L,38.47,13,19,0.684,1,1,1.0,9,11,0.818,0,2,2,8.0,2,2,1,1,36,35.3,2024-11-17
Jalen Williams,OKC,DAL,L,35.15,11,17,0.647,3,6,0.5,2,2,1.0,2,3,5,5.0,1,1,1,5,27,24.0,2024-11-17
Luguentz Dort,OKC,DAL,L,35.6,5,10,0.5,4,9,0.444,4,6,0.667,2,3,5,3.0,0,0,1,2,18,14.8,2024-11-17
Dillon Jones,OKC,DAL,L,15.95,5,6,0.833,2,3,0.667,0,0,0.0,1,1,2,3.0,0,0,0,1,12,12.5,2024-11-17
Isaiah Joe,OKC,DAL,L,25.83,2,6,0.333,2,6,0.333,0,0,0.0,0,2,2,4.0,1,1,1,4,6,5.1,2024-11-17
Kenrich Williams,OKC,DAL,L,18.22,2,6,0.333,0,2,0.0,2,2,1.0,0,4,4,2.0,2,0,1,4,6,4.6,2024-11-17
Aaron Wiggins,OKC,DAL,L,24.67,2,9,0.222,2,7,0.286,1,2,0.5,1,4,5,0.0,2,1,1,2,7,3.9,2024-11-17
Cason Wallace,OKC,DAL,L,24.9,2,8,0.25,0,5,0.0,0,0,0.0,0,2,2,1.0,2,0,0,2,4,1.7,2024-11-17
Ajay Mitchell,OKC,DAL,L,19.0,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,2.0,1,0,0,3,3,1.0,2024-11-17
Ousmane Dieng,OKC,DAL,L,2.18,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1.0,0,0,0,1,0,0.3,2024-11-17
Franz Wagner,ORL,PHO,W,39.2,12,24,0.5,4,8,0.5,4,5,0.8,0,5,5,8.0,0,0,1,2,32,24.9,2024-11-18
Anthony Black,ORL,PHO,W,32.73,5,10,0.5,3,5,0.6,7,8,0.875,0,4,4,9.0,3,0,3,1,20,21.7,2024-11-18
Goga Bitadze,ORL,PHO,W,31.15,7,8,0.875,0,0,0.0,3,4,0.75,3,7,10,1.0,0,2,1,5,17,17.1,2024-11-18
Kentavious Caldwell-Pope,ORL,PHO,W,34.23,3,5,0.6,1,2,0.5,2,2,1.0,0,1,1,2.0,1,0,1,1,9,8.0,2024-11-18
Jonathan Isaac,ORL,PHO,W,19.55,3,6,0.5,0,2,0.0,1,2,0.5,2,1,3,0.0,1,3,0,3,7,7.2,2024-11-18
Moritz Wagner,ORL,PHO,W,12.47,4,7,0.571,0,2,0.0,1,1,1.0,1,5,6,0.0,0,0,1,2,9,6.1,2024-11-18
Tristan Da Silva,ORL,PHO,W,26.4,1,5,0.2,1,3,0.333,0,0,0.0,1,4,5,6.0,0,0,0,1,3,5.6,2024-11-18
Jalen Suggs,ORL,PHO,W,29.65,4,11,0.364,2,7,0.286,2,2,1.0,0,2,2,1.0,0,2,3,1,12,5.2,2024-11-18
Gary Harris,ORL,PHO,W,11.18,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0.0,0,0,0,2,0,0.2,2024-11-18
Cole Anthony,ORL,PHO,W,3.43,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0,1.0,0,0,0,1,0,-0.1,2024-11-18
Shai Gilgeous-Alexander,OKC,SAS,L,37.27,11,20,0.55,5,8,0.625,5,6,0.833,0,3,3,7.0,3,0,4,3,32,25.6,2024-11-19
Jalen Williams,OKC,SAS,L,33.85,13,26,0.5,0,6,0.0,1,1,1.0,3,7,10,6.0,5,0,1,3,27,25.2,2024-11-19
Cason Wallace,OKC,SAS,L,33.7,5,8,0.625,3,5,0.6,0,0,0.0,1,2,3,7.0,0,1,0,2,13,15.5,2024-11-19
Luguentz Dort,OKC,SAS,L,32.45,2,12,0.167,2,8,0.25,0,0,0.0,6,6,12,2.0,2,1,2,2,6,5.7,2024-11-19
Aaron Wiggins,OKC,SAS,L,20.2,4,10,0.4,3,7,0.429,0,0,0.0,0,3,3,0.0,1,0,2,2,11,4.7,2024-11-19
Alex Caruso,OKC,SAS,L,25.75,1,7,0.143,0,5,0.0,0,0,0.0,0,5,5,1.0,3,2,1,0,2,3.1,2024-11-19
Dillon Jones,OKC,SAS,L,15.42,1,3,0.333,1,3,0.333,0,0,0.0,2,4,6,0.0,0,0,1,2,3,2.1,2024-11-19
Ajay Mitchell,OKC,SAS,L,13.43,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1.0,1,0,2,2,3,1.6,2024-11-19
Kenrich Williams,OKC,SAS,L,14.37,2,5,0.4,0,3,0.0,0,0,0.0,0,2,2,0.0,0,0,0,1,4,1.5,2024-11-19
Ousmane Dieng,OKC,SAS,L,3.05,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,0.3,2024-11-19
Adam Flagler,OKC,SAS,L,10.52,1,8,0.125,1,7,0.143,0,0,0.0,1,1,2,0.0,1,0,0,1,3,-0.6,2024-11-19
Jalen Williams,OKC,POR,W,35.88,11,19,0.579,5,9,0.556,3,3,1.0,0,7,7,8.0,2,2,3,3,30,28.0,2024-11-20
Shai Gilgeous-Alexander,OKC,POR,W,38.7,7,19,0.368,0,2,0.0,14,14,1.0,2,3,5,4.0,3,1,2,2,28,23.5,2024-11-20
Alex Caruso,OKC,POR,W,15.33,8,11,0.727,1,2,0.5,0,0,0.0,0,1,1,2.0,2,0,1,2,17,14.4,2024-11-20
Isaiah Hartenstein,OKC,POR,W,28.55,6,12,0.5,0,0,0.0,1,2,0.5,5,9,14,3.0,0,4,3,1,13,14.3,2024-11-20
Franz Wagner,ORL,LAC,L,34.9,5,11,0.455,0,4,0.0,4,4,1.0,0,6,6,6.0,4,0,3,3,14,14.1,2024-11-20
Jalen Suggs,ORL,LAC,L,25.05,5,11,0.455,2,6,0.333,4,4,1.0,1,1,2,2.0,1,1,0,2,16,13.6,2024-11-20
Tristan Da Silva,ORL,LAC,L,26.12,4,6,0.667,1,2,0.5,1,1,1.0,0,3,3,1.0,1,0,0,1,10,9.6,2024-11-20
Anthony Black,ORL,LAC,L,29.33,5,10,0.5,2,5,0.4,5,9,0.556,0,0,0,8.0,0,1,6,3,17,9.5,2024-11-20
