Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Anthony Black,ORL,DEN,L,26.25,2,6,0.333,0,3,0.0,4,5,0.8,1,0,1,4.0,2,0,3,1,8,6.3,2025-02-06
Tristan Da Silva,ORL,DEN,L,18.15,2,6,0.333,1,4,0.25,2,2,1.0,1,1,2,0.0,0,1,0,0,7,5.3,2025-02-06
Goga Bitadze,ORL,DEN,L,17.27,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0.0,0,1,1,1,4,4.0,2025-02-06
Trevelin Queen,ORL,DEN,L,11.25,1,8,0.125,0,4,0.0,2,2,1.0,3,2,5,2.0,2,0,1,1,4,3.5,2025-02-06
Jett Howard,ORL,DEN,L,14.2,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,1.0,0,0,1,0,3,0.9,2025-02-06
Jonathan Isaac,ORL,DEN,L,11.75,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0.0,0,2,0,0,0,0.5,2025-02-06
Caleb Houstan,ORL,DEN,L,7.47,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0.0,0,0,0,0,1,0.2,2025-02-06
Cole Anthony,ORL,DEN,L,21.75,2,8,0.25,0,2,0.0,1,2,0.5,1,1,2,3.0,1,0,3,3,5,-0.3,2025-02-06
Shai Gilgeous-Alexander,OKC,TOR,W,29.13,5,12,0.417,1,6,0.167,14,14,1.0,1,3,4,6.0,1,0,2,1,25,23.0,2025-02-07
Jalen Williams,OKC,TOR,W,33.18,9,19,0.474,1,3,0.333,8,10,0.8,1,4,5,4.0,0,0,3,1,27,17.8,2025-02-07
Alex Caruso,OKC,TOR,W,20.3,5,7,0.714,2,4,0.5,0,0,0.0,1,5,6,4.0,3,1,0,2,12,17.0,2025-02-07
Aaron Wiggins,OKC,TOR,W,33.18,7,14,0.5,1,5,0.2,3,3,1.0,1,2,3,2.0,1,1,0,0,18,15.4,2025-02-07
Isaiah Joe,OKC,TOR,W,25.17,6,7,0.857,4,5,0.8,0,0,0.0,1,1,2,1.0,0,0,1,2,16,13.4,2025-02-07
Isaiah Hartenstein,OKC,TOR,W,25.98,6,7,0.857,0,0,0.0,0,2,0.0,1,5,6,2.0,2,0,1,2,12,12.5,2025-02-07
Chet Holmgren,OKC,TOR,W,22.03,2,5,0.4,0,1,0.0,0,0,0.0,0,5,5,1.0,2,4,1,3,4,6.1,2025-02-07
Jaylin Williams,OKC,TOR,W,17.45,2,5,0.4,0,3,0.0,0,0,0.0,2,4,6,3.0,0,1,2,2,4,3.9,2025-02-07
Branden Carlson,OKC,TOR,W,1.77,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,2,2.0,2025-02-07
Dillon Jones,OKC,TOR,W,9.02,0,2,0.0,0,1,0.0,1,2,0.5,0,2,2,1.0,1,0,0,1,1,1.1,2025-02-07
Adam Flagler,OKC,TOR,W,1.77,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2025-02-07
Alex Ducas,OKC,TOR,W,4.32,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0.0,0,0,1,0,0,-0.3,2025-02-07
Kenrich Williams,OKC,TOR,W,16.7,0,5,0.0,0,3,0.0,0,0,0.0,2,1,3,2.0,0,0,1,0,0,-1.4,2025-02-07
Cory Joseph,ORL,MIA,W,5.35,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-1.4,2024-10-23
Cory Joseph,ORL,MIA,W,5.35,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-1.4,2024-10-23
Franz Wagner,ORL,MIA,W,23.1,10,16,0.625,3,6,0.5,0,0,0.0,1,3,4,,2,1,0,3,23,21.7,2024-10-23
Franz Wagner,ORL,BRK,W,38.9,10,19,0.526,3,6,0.5,6,6,1.0,2,4,6,5.0,1,0,3,2,29,23.0,2024-10-25
Franz Wagner,ORL,MEM,L,34.33,7,16,0.438,4,10,0.4,5,6,0.833,1,6,7,3.0,2,0,6,2,23,14.0,2024-10-26
Franz Wagner,ORL,IND,W,10.88,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,1.0,1,0,0,1,7,6.3,2024-10-28
